--initial-mass-1,-a,q,--eccentricity,--initial-mass-2,--metallicity,SEED,batch,is_hit,mixture_weight
13.519711541681948,2.7145755563289597,0.9060947726163212,0.0,12.250139955198557,0.0142,0.0,0.0,0.0,1
5.235928687395804,1.1449720190360142,0.2384002544592323,0.0,1.2482467314055539,0.0142,1.0,0.0,0.0,1
11.514847127119328,0.04459143105061347,0.14903649120095785,0.0,1.7161324125412944,0.0142,2.0,0.0,0.0,1
8.307691608078478,0.3915272340551293,0.9097318300503765,0.0,7.5577714901113895,0.0142,3.0,0.0,0.0,1
16.832956434931063,0.07600329880289315,0.9490106683450744,0.0,15.97465523653745,0.0142,4.0,0.0,0.0,1
16.116077392125614,5.793331529526359,0.3813495320534771,0.0,6.145858572024725,0.0142,5.0,0.0,0.0,1
18.06528315610718,0.10589526782206325,0.8157226998614616,0.0,14.736261549861537,0.0142,6.0,0.0,0.0,1
6.912989065583327,0.2700862568486873,0.9654103545173631,0.0,6.673871224579455,0.0142,7.0,0.0,0.0,1
6.583222420931161,0.4259703885153391,0.6229791579469177,0.0,4.101210360368964,0.0142,8.0,0.0,0.0,1
11.548458402327359,3.1877616428513256,0.2907971590054129,0.0,3.3582588942889857,0.0142,9.0,0.0,0.0,1
5.679629587318581,0.3094555676460816,0.1178380581335533,0.0,0.6692765214874963,0.0142,10.0,0.0,0.0,1
9.228780792985237,0.8463618030280935,0.12537160820640736,0.0,1.1570270898009625,0.0142,11.0,0.0,0.0,1
5.299927265849578,0.12448682849482284,0.8353508723627134,0.0,4.427298864986375,0.0142,12.0,0.0,0.0,1
12.770638713743123,1.0462274189009682,0.6158467079431358,0.0,7.864755810189864,0.0142,13.0,0.0,0.0,1
11.436123305481074,0.16297609954009978,0.17175628849219127,0.0,1.9642260936884792,0.0142,14.0,0.0,0.0,1
14.236994752986915,2.5599198307399704,0.7559184487666221,0.0,10.762006988776406,0.0142,15.0,0.0,0.0,1
43.25658675870605,0.15575405380757712,0.3585739069891336,0.0,15.510683317083652,0.0142,16.0,0.0,0.0,1
5.187605968744183,0.1726264161007245,0.9279739641228201,0.0,4.813963275122742,0.0142,17.0,0.0,0.0,1
5.8738140915890735,4.5422327457657525,0.488035279558127,0.0,2.8666285022611393,0.0142,18.0,0.0,0.0,1
6.609936849410066,0.24964279016748284,0.25184246572661817,0.0,1.664662794452665,0.0142,19.0,0.0,0.0,1
7.106892026602767,1.4278258301281301,0.15883455768011412,0.0,1.1288200515257805,0.0142,20.0,0.0,0.0,1
8.713222116394167,0.4513113186484446,0.7063858156690427,0.0,6.154896511794636,0.0142,21.0,0.0,0.0,1
7.424236339032445,7.684811469529989,0.1727811561010668,0.0,1.2827681378255777,0.0142,22.0,0.0,0.0,1
5.546901099154302,1.9294665927715013,0.484671946393026,0.0,2.688427352176731,0.0142,23.0,0.0,0.0,1
13.884858301765128,8.867759387163348,0.5803841433390573,0.0,8.058551590854151,0.0142,24.0,0.0,0.0,1
10.656081493523354,8.63290500619819,0.4990758913188664,0.0,5.318193369346646,0.0142,25.0,0.0,0.0,1
35.22711041657823,0.26814849801069235,0.9352809939250305,0.0,32.94724684352408,0.0142,26.0,0.0,0.0,1
9.936885223943952,0.9611038219368949,0.5787618969031063,0.0,5.751090541518249,0.0142,27.0,0.0,0.0,1
